RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Balance,Exited
1,15721958,User_0,691,France,Female,21,0,2,0,1,18117.581382436452,71153.31933567338,0
2,15746867,User_1,738,France,Male,29,9,1,1,0,36375.893788710884,100201.9746571922,0
3,15731932,User_2,609,France,Male,18,10,1,1,0,30904.991032710896,72506.45917469627,0
4,15703694,User_3,513,France,Male,40,3,1,0,1,41988.13157843,103663.98657512225,0
5,15719879,User_4,355,Spain,Male,38,3,4,1,0,9385.112769332918,130795.0833679878,0
6,15710268,User_5,849,France,Male,45,0,3,0,1,39546.868955038655,137320.77557601425,0
7,15654886,User_6,498,France,Female,28,6,1,1,1,188270.9333968763,122944.1041667827,0
8,15737337,User_7,554,Germany,Male,42,4,1,1,1,114413.76048156034,111117.16870705376,0
9,15768266,User_8,467,France,Female,29,0,2,0,1,65059.23104679967,108429.79329544003,0
10,15687498,User_9,834,Spain,Male,45,4,2,0,1,157905.166874743,105334.706983944,0
11,15712727,User_10,438,France,Male,19,7,3,1,0,179170.54063852917,0.0,0
12,15726324,User_11,503,Germany,Male,35,9,2,1,0,14155.740361109893,38976.42330337147,0
13,15775203,User_12,788,France,Male,34,7,2,1,1,68868.39315145083,0.0,0
14,15791335,User_13,516,Germany,Female,45,1,1,1,1,163723.8237478952,106430.00603757123,0
15,15616023,User_14,817,France,Male,45,0,2,1,0,121430.06226549784,68808.22092667867,0
16,15641090,User_15,510,France,Female,50,1,2,1,0,136459.69204973918,26258.890605312467,0
17,15667221,User_16,619,Spain,Male,18,5,1,0,0,111917.68935650981,0.0,0
18,15664820,User_17,405,France,Female,52,4,2,1,1,16449.110140252284,140494.81514498207,0
19,15600769,User_18,577,France,Female,28,3,1,1,1,170160.07219264418,174236.20796659365,1
20,15659735,User_19,686,Germany,Male,55,7,1,1,1,47678.771226512865,28434.47689649467,0
21,15794027,User_20,498,Germany,Male,60,4,2,1,0,20653.06906707169,119976.10070127298,1
22,15664925,User_21,395,France,Male,49,3,1,1,1,67907.10766860443,0.0,0
23,15799041,User_22,493,France,Female,29,10,2,1,0,149068.4204494603,87514.16429539667,1
24,15605311,User_23,587,France,Male,25,7,3,0,1,175992.01954770807,63962.367148931415,0
25,15703355,User_24,621,France,Female,30,0,1,1,0,130103.92506623852,101711.35389184435,0
26,15784779,User_25,469,Germany,Male,43,8,2,1,1,71625.07176565299,28494.463367006654,0
27,15685305,User_26,689,Spain,Male,27,1,1,1,1,145638.59154384525,126161.8044378297,0
28,15759765,User_27,762,France,Male,19,7,1,1,0,153306.2957372771,161034.32800164563,0
